latent_index,spearman,p_value
244,-0.15772119161627457,0.117065908718291
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,0.14061932751239456,0.1628776970590255
260,,
261,0.24383657819689988,0.014496047875367244
262,,
263,,
264,,
265,,
266,,
267,,
268,0.3266303291082469,0.0009108754006706056
269,,
270,,
271,,
272,,
273,,
274,-0.0677893890461518,0.5027669091230236
275,,
276,0.5542684152797157,2.195667464008119e-09
277,0.22093208160584377,0.02718047499874961
278,,
279,,
280,,
281,,
282,,
283,-0.4797942975978719,4.396621070030342e-07
284,0.42544037301789117,1.0220287430720577e-05
285,,
286,,
287,,
288,-0.1587353021543643,0.11470009177120292
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,-0.13478669175486072,0.18121251427763163
305,,
306,-0.5496119077202032,3.179241129095695e-09
307,-0.13321452038811807,0.186403265764606
308,,
309,0.32124501571972525,0.0011184743930033139
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,0.3453736457413749,0.0004327559205997584
318,,
319,0.35466265824411397,0.000294066684880523
320,0.3309670683176096,0.0007699580734147886
321,,
322,-0.6597299105869758,8.348044247930392e-14
323,-0.15920335317194417,0.11362074676753861
324,,
325,-0.36242150395861117,0.00021101175669338435
326,,
327,-0.17046658086421884,0.08994860118914921
328,,
329,,
330,,
331,,
332,,
333,0.4477508048558651,2.9985571601396677e-06
334,,
335,,
336,,
337,0.30279900510382096,0.0021975564841476636
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,-0.2573020459334286,0.0097566073234855
347,,
348,0.4995964560339435,1.2129181097935447e-07
349,0.01729988568824074,0.8643522484152774
350,0.4944838987649941,1.704600983002111e-07
351,,
352,0.4587200004986345,1.5883881667197205e-06
353,,
354,-0.044146812004296605,0.6627420439224683
355,,
356,,
357,-0.02600083409196917,0.79734645002308
358,,
359,,
360,,
361,,
362,0.3457036817153094,0.00042694215530669316
363,-0.20095590420169757,0.04498498607679096
364,,
365,,
366,,
367,,
368,,
369,,
370,-0.08196893461719336,0.4175096091989119
371,,
372,,
373,0.028083061054792455,0.7815078567732777
374,,
375,,
376,,
377,0.23172725828053853,0.020351176528607018
378,,
379,,
380,0.372904646621586,0.0001329423834883852
381,-0.018800049206124953,0.8527166900705649
382,,
383,,
384,,
385,,
386,,
387,-0.031701455459929175,0.7541989102906432
388,0.21036492978586732,0.0356611739652659
389,0.24932117601828457,0.01236675437610323
390,,
391,0.44425842418623074,3.6540940687765746e-06
392,,
393,,
394,0.4772860241959695,5.146158315307733e-07
395,,
396,,
397,,
398,,
399,0.1883065254188979,0.060626147529550825
400,,
401,,
402,,
403,-0.12067929825503888,0.23169762128950025
404,0.41405113159011414,1.8498468386910866e-05
405,,
406,0.1524646186496083,0.12993816243874015
407,,
408,0.14360165258594837,0.15405279437335515
409,0.25632993997383957,0.01004623183708507
410,0.322505153074748,0.0010663670243778744
411,-0.10802977524987792,0.28468667693886485
412,0.5989792887667368,4.611379685182122e-11
413,0.10707567125250356,0.2889869500696632
414,,
415,-0.5309198702873659,1.3289792029513343e-08
416,0.21684563618312716,0.030231162184947445
417,,
418,,
419,,
420,,
421,,
422,-0.34964611144030916,0.00036283029208149795
423,,
424,,
425,,
426,,
427,,
428,,
429,0.32946591179773077,0.000816307323524612
430,,
431,,
432,,
433,0.17092263057365564,0.08907954622065549
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,0.3739067558515326,0.00012709336749827492
442,0.031995487509434484,0.7519925101848864
443,-0.1587052988840066,0.11476955053108781
444,,
445,,
446,0.29919261200682734,0.0024954071529549185
447,0.5207967668686831,2.783040014759606e-08
448,0.3847379364506567,7.741522460038118e-05
449,0.4509911580544951,2.491083269996433e-06
450,,
451,-0.11044803884070725,0.27397902438027755
452,,
453,-0.004068443460501984,0.9679551307182569
454,-0.34773790344556044,0.00039266478176805994
455,,
456,-0.10964395119512133,0.27750889281270524
457,0.03881223053470035,0.7014327233934174
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,-0.43865381328341524,4.995877500085889e-06
466,,
467,0.4041200491017207,3.0501425736266104e-05
468,,
469,,
470,,
471,0.6774078374817234,1.0016569024988607e-14
472,,
473,,
474,-0.5159002331463092,3.9451629705918336e-08
